X;Y;Z;DISTANCE;INTENSITY;POINT_ID;RETURN_ID;AMBIENT;TIMESTAMP
-1.218402087688446045e-01;2.442249059677124023e+00;-1.134118344634771347e-02;2.445312500000000000e+00;4.404000000000000000e+03;9.700000000000000000e+01;0.000000000000000000e+00;2.000000000000000000e+00;1.682415573319990272e+18
-1.383859217166900635e-01;2.433542013168334961e+00;-1.135508622974157333e-02;2.437500000000000000e+00;4.430000000000000000e+03;9.800000000000000000e+01;0.000000000000000000e+00;4.000000000000000000e+00;1.682415573319996416e+18
-1.558262854814529419e-01;2.440315723419189453e+00;-1.144072972238063812e-02;2.445312500000000000e+00;4.404000000000000000e+03;9.900000000000000000e+01;0.000000000000000000e+00;3.000000000000000000e+00;1.682415573320002560e+18
-1.727931499481201172e-01;2.439172744750976562e+00;-1.148991566151380539e-02;2.445312500000000000e+00;4.417000000000000000e+03;1.000000000000000000e+02;0.000000000000000000e+00;0.000000000000000000e+00;1.682415573320008448e+18
-1.891677379608154297e-01;2.430121183395385742e+00;-1.150229852646589279e-02;2.437500000000000000e+00;4.468000000000000000e+03;1.010000000000000000e+02;0.000000000000000000e+00;0.000000000000000000e+00;1.682415573320014592e+18
-2.063748687505722046e-01;2.428720235824584961e+00;-1.155223324894905090e-02;2.437500000000000000e+00;4.391000000000000000e+03;1.020000000000000000e+02;0.000000000000000000e+00;2.000000000000000000e+00;1.682415573320020736e+18
-2.232770770788192749e-01;2.427224636077880859e+00;-1.160122267901897430e-02;2.437500000000000000e+00;4.417000000000000000e+03;1.030000000000000000e+02;0.000000000000000000e+00;0.000000000000000000e+00;1.682415573320026880e+18
-2.401642054319381714e-01;2.425611495971679688e+00;-1.164822094142436981e-02;2.437500000000000000e+00;4.455000000000000000e+03;1.040000000000000000e+02;0.000000000000000000e+00;0.000000000000000000e+00;1.682415573320033024e+18
-2.578635513782501221e-01;2.431650161743164062e+00;-1.173270121216773987e-02;2.445312500000000000e+00;4.404000000000000000e+03;1.050000000000000000e+02;0.000000000000000000e+00;0.000000000000000000e+00;1.682415573320039168e+18
-2.747806608676910400e-01;2.429796218872070312e+00;-1.177984941750764847e-02;2.445312500000000000e+00;4.417000000000000000e+03;1.060000000000000000e+02;0.000000000000000000e+00;0.000000000000000000e+00;1.682415573320045312e+18
-2.910391688346862793e-01;2.420033693313598633e+00;-1.179001014679670334e-02;2.437500000000000000e+00;4.430000000000000000e+03;1.070000000000000000e+02;0.000000000000000000e+00;0.000000000000000000e+00;1.682415573320051456e+18
-3.098481595516204834e-01;2.433449029922485352e+00;-1.191288605332374573e-02;2.453125000000000000e+00;4.379000000000000000e+03;1.080000000000000000e+02;0.000000000000000000e+00;2.000000000000000000e+00;1.682415573320057600e+18
-3.257724940776824951e-01;2.423485755920410156e+00;-1.191988028585910797e-02;2.445312500000000000e+00;4.455000000000000000e+03;1.090000000000000000e+02;0.000000000000000000e+00;0.000000000000000000e+00;1.682415573320063744e+18
-3.426381349563598633e-01;2.421158552169799805e+00;-1.196424011141061783e-02;2.445312500000000000e+00;4.404000000000000000e+03;1.100000000000000000e+02;0.000000000000000000e+00;0.000000000000000000e+00;1.682415573320069888e+18
-3.594872355461120605e-01;2.418714046478271484e+00;-1.200859993696212769e-02;2.445312500000000000e+00;4.340000000000000000e+03;1.110000000000000000e+02;0.000000000000000000e+00;0.000000000000000000e+00;1.682415573320076032e+18
-3.775211572647094727e-01;2.423871517181396484e+00;-1.209146808832883835e-02;2.453125000000000000e+00;4.366000000000000000e+03;1.120000000000000000e+02;0.000000000000000000e+00;0.000000000000000000e+00;1.682415573320082176e+18
-3.934151828289031982e-01;2.413427352905273438e+00;-1.209806837141513824e-02;2.445312500000000000e+00;4.366000000000000000e+03;1.130000000000000000e+02;0.000000000000000000e+00;3.000000000000000000e+00;1.682415573320088576e+18
-4.115499258041381836e-01;2.418325901031494141e+00;-1.217813324183225632e-02;2.453125000000000000e+00;4.366000000000000000e+03;1.140000000000000000e+02;0.000000000000000000e+00;0.000000000000000000e+00;1.682415573320094720e+18
-4.283778071403503418e-01;2.415401697158813477e+00;-1.221785414963960648e-02;2.453125000000000000e+00;4.404000000000000000e+03;1.150000000000000000e+02;0.000000000000000000e+00;0.000000000000000000e+00;1.682415573320101120e+18
-4.451634585857391357e-01;2.412364482879638672e+00;-1.225752290338277817e-02;2.453125000000000000e+00;4.404000000000000000e+03;1.160000000000000000e+02;0.000000000000000000e+00;0.000000000000000000e+00;1.682415573320107264e+18
-4.619490206241607666e-01;2.409206151962280273e+00;-1.229724474251270294e-02;2.453125000000000000e+00;4.379000000000000000e+03;1.170000000000000000e+02;0.000000000000000000e+00;0.000000000000000000e+00;1.682415573320113408e+18
-4.706006944179534912e-01;2.363734722137451172e+00;-1.212151907384395599e-02;2.410156250000000000e+00;1.241000000000000000e+03;1.180000000000000000e+02;0.000000000000000000e+00;0.000000000000000000e+00;1.682415573320119808e+18
-4.941925406455993652e-01;2.394822597503662109e+00;-1.233578100800514221e-02;2.445312500000000000e+00;3.835000000000000000e+03;1.190000000000000000e+02;0.000000000000000000e+00;0.000000000000000000e+00;1.682415573320126208e+18
-5.067636966705322266e-01;2.372225522994995117e+00;-1.227256841957569122e-02;2.425781250000000000e+00;4.315000000000000000e+03;1.200000000000000000e+02;0.000000000000000000e+00;0.000000000000000000e+00;1.682415573320132608e+18
-4.617474675178527832e-01;2.090202569961547852e+00;-1.086106337606906891e-02;2.140625000000000000e+00;7.700000000000000000e+01;1.210000000000000000e+02;0.000000000000000000e+00;0.000000000000000000e+00;1.682415573320139008e+18
-4.480339884757995605e-01;1.901016473770141602e+00;-9.967100806534290314e-03;1.953125000000000000e+00;1.360000000000000000e+02;1.230000000000000000e+02;0.000000000000000000e+00;0.000000000000000000e+00;1.682415573320151808e+18
-5.756766796112060547e-01;2.368511676788330078e+00;-1.247144490480422974e-02;2.437500000000000000e+00;4.097000000000000000e+03;1.240000000000000000e+02;0.000000000000000000e+00;0.000000000000000000e+00;1.682415573320158208e+18
-5.655706524848937988e-01;2.258351802825927734e+00;-1.194037962704896927e-02;2.328125000000000000e+00;4.570000000000000000e+03;1.250000000000000000e+02;0.000000000000000000e+00;0.000000000000000000e+00;1.682415573320164608e+18
-6.056510806083679199e-01;2.348924636840820312e+00;-1.247098296880722046e-02;2.425781250000000000e+00;4.519000000000000000e+03;1.260000000000000000e+02;0.000000000000000000e+00;0.000000000000000000e+00;1.682415573320171008e+18
-6.350194811820983887e-01;2.393731117248535156e+00;-1.276245992630720139e-02;2.476562500000000000e+00;4.391000000000000000e+03;1.270000000000000000e+02;0.000000000000000000e+00;2.000000000000000000e+00;1.682415573320177664e+18
-6.560588479042053223e-01;2.404250383377075195e+00;-1.287407241761684418e-02;2.492187500000000000e+00;4.366000000000000000e+03;1.280000000000000000e+02;0.000000000000000000e+00;0.000000000000000000e+00;1.682415573320184064e+18
